,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
969,2024-10-04 15:45:00+00:00,AAPL,224.81,225.53,224.69,225.53,14561.0,,224.55924999999996,225.3207,225.42808988764043,0.6904804034255675,225.9402108068511,223.17828919314883,0.6899999999999977,0.0,0,0.0,225.54
980,2024-10-04 16:00:00+00:00,AAPL,225.54,225.57,224.85,224.91,30938.0,,224.59775,225.2832,225.4223333333333,0.6874908635801689,225.97273172716032,223.22276827283966,-0.6200000000000045,0.0,0,0.0,224.86
991,2024-10-04 16:15:00+00:00,AAPL,224.86,225.03,224.71,224.94,10853.0,,224.63224999999997,225.24919999999997,225.41703296703298,0.6864864802106188,226.0052229604212,223.25927703957873,0.030000000000001137,0.0,0,0.0,224.965
1002,2024-10-04 16:30:00+00:00,AAPL,224.965,225.465,224.89,225.44,29141.0,,224.70275,225.2202,225.41728260869564,0.6933838673489708,226.08951773469795,223.31598226530207,0.5,0.0,0,0.0,225.365
1013,2024-10-04 16:45:00+00:00,AAPL,225.365,225.45,224.94,225.16,20793.0,,224.76799999999997,225.1846,225.41451612903225,0.6715977218633337,226.11119544372664,223.4248045562733,-0.28000000000000114,0.0,0,0.0,225.2
1024,2024-10-04 17:00:00+00:00,AAPL,225.2,225.23,225.025,225.23,8220.0,,224.8345,225.15560000000002,225.41255319148934,0.6477825638307643,226.1300651276615,223.53893487233847,0.06999999999999318,0.0,0,0.0,225.265
1035,2024-10-04 17:15:00+00:00,AAPL,225.265,225.4,225.12,225.12,7372.0,,224.90925,225.11520000000002,225.40947368421055,0.5873377967590936,226.08392559351816,223.7345744064818,-0.10999999999998522,0.0,0,0.0,225.09
1046,2024-10-04 17:30:00+00:00,AAPL,225.09,225.33,224.55,225.32,27902.0,,224.99499999999998,225.0801,225.40854166666668,0.5108766974637444,226.01675339492746,223.9732466050725,0.19999999999998863,0.0,0,0.0,225.31
1057,2024-10-04 17:45:00+00:00,AAPL,225.31,225.31,224.85,224.88,14203.0,,225.054,225.0411,225.40309278350514,0.41752125694342185,225.88904251388684,224.21895748611317,-0.4399999999999977,0.0,0,0.0,224.83
1068,2024-10-04 18:00:00+00:00,AAPL,224.83,224.99,224.705,224.81,14852.0,,225.09099999999998,225.00009999999997,225.39704081632652,0.35709802576990046,225.80519605153978,224.37680394846018,-0.06999999999999318,0.0,0,0.0,224.8
1079,2024-10-04 18:15:00+00:00,AAPL,224.8,225.16,224.7,225.06,16459.0,,225.064,224.9637,225.39363636363638,0.3374670354249532,225.7389340708499,224.3890659291501,0.25,0.0,0,0.0,225.13
1090,2024-10-04 18:30:00+00:00,AAPL,225.13,225.27,225.04,225.24,28338.0,,225.029,224.9264,225.3921,0.2753888160485729,225.57977763209715,224.47822236790284,0.18000000000000682,0.0,0,0.0,225.24
1101,2024-10-04 18:45:00+00:00,AAPL,225.24,225.54,225.23,225.54,30972.0,,225.04749999999999,224.8924,225.3561,0.2959032781247502,225.6393065562495,224.45569344375048,0.29999999999998295,0.0,0,0.0,225.48
1112,2024-10-04 19:00:00+00:00,AAPL,225.48,225.58,225.29,225.4,17334.0,,225.0725,224.855,225.34459999999999,0.30341184881351135,225.679323697627,224.46567630237297,-0.13999999999998636,0.0,0,0.0,225.36
